Player,Score
xinu06,60204.05413996084
pogodemon,60204.05413996084
Celcius_k,60204.05413996084
caffeinatedcomposer,60132.714593704404
Kelux35,60127.82177445711
Relyea,60087.988558814046
WhiskeyandWit,60069.90536065064
Elyria,60062.50000000001
stringonankle,60052.75605322752
DoubleShine,60052.75605322752
cdsx123,60002.45008177761
SimplyPlagal,60002.45008177761
WizardOfAzz,59952.2072955509
Storm0149,59919.74901064783
pyrokapi,59919.74901064783
Stefler,59777.50633318476
Acrimionius,59735.736319781754
cjya,59701.93744849558
Juan_Pequeno,59701.93744849558
introjerk,59682.95908608395
Dea1h,59602.26812121635
Dan4lk,59602.26812121635
st0mba,59552.52702751665
SaruWanKenoobi,59453.23145991134
Immotv,59453.23145991134
Little_Screen_,59451.55476928587
LuQiu,59400.65932053355
Variel,59226.14623372762
Z0_0m,59206.07632746486
BenWaz,59120.35774071549
0besatre0,59119.19042210026
BlackJack_2102,59107.645627396145
Macaronz,58911.51919060959
NamesAreHardOk,58842.03553284143
RanOutOfName,58813.82182899098
hotaru_st,58812.165828981946
sheepsheep,58749.69810409372
yaho2233,58716.36729423044
Selrec,58703.610874563536
persistentcheese,58691.52118222866
BooTheBun,58667.730835522416
Kishoto,58667.730835522416
Ahvena,58667.730835522416
Onion_Soup,58565.67410402806
ChouMao,58519.80320380669
ShallowDream233,58291.25507919169
DaViDLlaCeR,58245.706141622766
Fishtard,57993.11777206615
Tegon_McCloud,57973.530317020624
HushVGC,57945.37698975312
Kokatsu,57802.50781791031
Un4Gettable,57776.27959405672
OnzinPower,57748.171811836655
MrHug,57745.35424757783
Ne0sam,57660.16637924855
Miuo,57658.39619880566
arigrate,57568.82977162697
Lo_2_Source,57524.12479969837
PuffZZ,57479.471880907375
HzK,57471.194228137436
arianaaaa,57471.194228137436
szymoncostam,57330.07409911587
piepenguin,57301.37912385074
CinderPiler,57256.98526216303
mapl,57142.721041044206
Zanguy,57142.721041044206
Voxplox,56909.81840566328
Bozon69,56903.684229606755
Zangolf,56903.684229606755
wanith,56772.038966049375
Sly4er,56770.75964660927
shupik,56728.25871784801
caleb_charlie,56640.85001169435
Helslo,56494.16683191222
Jormungandr7,56468.58144208439
chillfox,56448.26460603373
CuteReimu,56412.372034251886
Glackum,56049.41534352442
DewbBers,56034.60674573274
Iris_ti,55948.79572195589
IxAMxSamurai,55947.011054555354
InexorableImp,55947.011054555354
Seikent,55947.011054555354
Spilled_OJ_,55811.46413631263
Mpuddi,55811.46413631263
Brorsi,55580.26819488169
plusn,55565.07487908631
JoeNPC,55497.0972306002
princess_celery,55448.560298073855
ConnorB,55274.17278331441
g1t2r3,55229.74909792082
Jesuisnuit,55185.28812477383
alfoam,55185.28812477383
Butchie,55141.06224093159
DylanRegan,55101.419917855135
henryst,55096.79889754865
Tiouz,55052.588830002394
vvSiegvv,55008.43195282934
squigglewiggles,54975.9756331692
Evelyn_Xeamyyy,54975.9756331692
Luuke7515,54920.27742860471
Lacki_ng,54916.959088712945
PilbowZortox,54850.959242390716
B3traya1,54767.8517403204
Gyorgen,54726.36880165289
YxriTheSlayer,54645.87115111987
scudpuddle,54613.399608051375
Revooo,54527.0652986607
mmango,54519.65937800394
Lvl100Feraligatr,54509.23944772439
LittleEggpants,54482.667399731465
mengyusanqiu,54478.45804988663
Liyrslly,54396.195384306455
rooned,54395.77320717785
FuzzyFlux,54314.11890352438
Mikael,54263.44528050166
UNsPooKie,54232.22804610881
Blubmin,54222.60730602949
ellomenop,54191.35205129455
soyleaf,54179.44503326707
Radioactive,54179.44503326707
Puddingboxes,54129.3852774976
voidawn,54109.73858086756
KuulGryphun,54093.274955396955
HollowDoge,54050.26698654989
Eriss,54028.30933945866
DamilolaKoi,54010.89435881504
WhitePaaws,54007.310288873
rixxian,53982.94202684224
Megasticky,53964.40478090265
PanditaArcade,53964.40478090265
Plutoker,53927.129021617315
Nynomastro,53878.74700903542
youran040506,53866.00132948807
Mr_Rabbit215,53835.994583018386
Em_iIy,53835.994583018386
Bensocks,53835.994583018386
Slothy_,53834.7107200992
cassiapaws,53825.53860691222
LF,53825.53860691222
lugiin,53825.53860691222
izi_the_noob,53825.53860691222
Turambar,53785.12145901703
ELETRIC0,53704.423613726685
SkySaw95,53665.49272781614
DanteIfRiss,53664.14277988101
daikonic,53622.993824134894
Katafolt,53538.147328206374
GreekSquad,53503.47178386569
xuzycuan,53463.416781126405
JuicyBananas,53453.502049222305
SovereignGreed,53344.224729811955
FabiGrepo,53343.5212850525
IvyOnFire,53334.899643935874
a_little_flame,53326.91002248626
ImJustPearl,53310.86569099127
Goose_47,53291.126259486286
skullptura,53290.914599873264
erione,53200.76716890555
_Zei_,53200.76716890555
Dragtalon,53184.28698196965
MattStrats,53154.359663069285
Siphon123,53116.92042516517
BlueMushroom64,52949.82050375418
Krutus,52908.16872915818
le_chamoutte,52907.337473861604
Etimo,52828.60632781111
Sir_Zylo,52825.0124846723
FinnaDie,52825.0124846723
1Frame,52783.507860476064
ShadowOfTheNinja,52720.226843100194
biorunner,52700.645223546824
Done22,52671.67033925795
LordKry,52632.54560869364
Nartax,52576.71664744329
Marclap,52554.42681335906
Throwout123,52453.2246955994
PromtheusGaming,52437.574316290134
polix_minus,52437.574316290134
water07,52330.16731933944
DarkDemon35,52330.16731933944
TranscendentalAnarchy,52282.37625320391
Ouro,52166.76330566406
duduzhi,52085.34815879232
Flazer,52050.867860404884
EdgySM64_2,52044.712039286525
WoahE,52044.712039286525
bug_bh,51943.73449196782
Oogway710,51897.38215592553
opaape,51882.64218970545
RipeTomato,51782.71296136901
eocampos,51782.71296136901
MonsoonSpeedruning,51761.58609517176
SaliVS,51721.328203561825
Shlump,51640.95319129911
AustenEfe,51628.441265777656
SunglassesEmoji,51600.83592484525
RobotWyrm,51554.51178633218
Gonmas,51520.74150785078
alqk0310,51478.77986590877
cryobraz_,51400.94908604275
PickPig,51397.312774206715
Nincat123,51361.11111111111
ItzTetriX,51327.81578334013
bbeauz,51321.31943248738
25stride,51241.9166037898
mairward,51112.95750905218
Kuplub,51083.53757727414
Zhorox,51004.64409471632
SidVicious,51004.64409471632
Keubab,51004.64409471632
TriDimensional,50990.56512337529
PlutoniumDevil,50965.265872601776
Bondras,50965.265872601776
SirJayP,50886.646114349955
Tzettchen,50847.4044376796
M1sterSmash,50841.74195537502
irlou,50804.637966860246
Ozzcarr,50729.95137713349
aguynamedtyler,50729.95137713349
Avonis,50612.90480652205
HushVox,50573.97928994083
pookiever,50509.26279056464
RandomStuff9001,50509.26279056464
QuickBread,50457.47179331038
Keltik,50362.54024557193
whentington,50225.661356500874
snappingboot,50225.661356500874
clurima,50148.74611302591
Have_,50110.35472984857
Ytobej,50073.613904050566
TickerSR,50072.00741559944
Saftii05,50072.00741559944
Leaper711,50071.00661625709
HybridNeos,50033.704102856194
Tomppa7,49995.444724325396
Wiglink,49995.444724325396
GerardSurLeNet,49962.33381786544
SlimeV2,49957.22921284216
ScrubTheNerd,49957.22921284216
Phosphate,49880.92952300025
GottaCatchAToast,49842.84521095218
kobalt,49804.80449857234
Whynodoublejump,49766.807319334446
MilpyCafe,49710.13567230122
Matthew4567,49646.39055059791
mooshiros,49627.305137030584
Adamcake,49615.25260770974
Windrunner315,49579.60898474597
YEPFishh,49539.7347303608
relax_kuma,49459.84227402182
TheMattMan,49426.780783298884
Boltonhero,49389.21530429587
Quetsacloatl,49389.21530429587
Silici,49353.15201076549
andreww,49317.66529466595
5DCaster,49314.2127102485
PrinceFluff,49276.77546528113
FatalKetchup,49140.80452513826
jokami,49127.45198909505
Nitrostarch,49090.227173618216
GonzoTheReal,49090.227173618216
MattyIce00,49070.326506919395
Aquaeri3,49015.90435736466
MoreanP,48964.89342759992
BDJoe,48964.89342759992
limebanana,48935.96399565892
hikarukami,48894.79337441348
soughtsphinx,48830.83408890557
SatanicNerd,48793.9458302868
karura,48789.92521505277
Saff_fp,48720.29460179351
